MESIN
FB1100A
FB1100B
FB800
UL
SEYI
FB160 A
FB160 B
BELT SANDER 1
BELT SANDER 2
BELT SANDER 3
BELT SANDER 4
GSK
TONGTAI 1
TONGTAI 2
TC-1
NR
BV-1
BV-2
A30T
A45T
A75T
A80T
A110T
 P110 (NPG)
A160T
ROTARY GRINDING 1
ROTARY GRINDING 2
ROTARY GRINDING 3
ROTARY GRINDING 4
BRUSH 1
BRUSH 2
MILLING
CHAMFER 1
CHAMFER 2
TAP 1
TAP 2
CNC ROUTER 1
CNC ROUTER 2
CNC ROUTER 3
CNC ROUTER 4
CNC ROUTER 5
LEVELLING 2
LEVELLING 3
LEVELLING 4
CEK JIG PUTAR
INTERNAL GRINDING 1
INTERNAL GRINDING 2
MINI BELT SANDER 1
MINI BELT SANDER 2
MINI BELT SANDER 3 
MINI BELT SANDER 4
DRILL ROUTER
WELDING SPOT
WELDING MIG
WELDING TIG
DEBUR 
KN0020
REWORK
TONGTAI MILLING
DONGGUAN MILLING
LEVELLER
DDG1
DDG2
DEBURRING (BRUSH)
P80T
MACHINING PLANT 2
