PRODUK,JENIS_PEKERJAAN,TARGET,,,
KN0039-2 LH,WASHER,,,,
,,,,,
KN0040,PRESS,4500,,,
KN0040,SANDER,6900,,,
KN0040,WASHER,,,,
,,,,,
KN0041,PRESS,5400,,,
KN0041,BUBUT,1400,,,
KN0041,SANDER,4500,,,
KN0041,BENDING,2800,,,
KN0041,,,,,
,,,,,
KN0042,,4900,,,
,,,,,
KN0043,PRESS,4400,,,
KN0043,SANDER,,,,
KN0043,BUBUT,250,,,
KN0043,SHAVING,,,,
,,,,,
KN0045,PRESS,3200,,,
KN0045,BUBUT,360,,,
,,,,,
KN0046,PRESS,7500,,,
KN0046,BUBUT,1300,,,
KN0046,SANDER,6300,,,
KN0046,CORNER,,,,
KN0046,BRUSH,2800,,,
KN0046,CHAMFER,2100,,,
,,,,,
KN0047,PRESS,5400,,,
KN0047,SANDER,6300,,,
,,,,,
KN0048,PRESS,3400,,,
KN0048,SANDER,2500,,,
KN0048,DRILL,,,,
KN0048,CHAMFER 45,800,,,
KN0048,CHAMFER 25,,,,
,,,,,
KN0049,PRESS,3400,,,
KN0049,SANDER,2500,,,
KN0049,DRILL,,,,
KN0049,CHAMFER 45,800,,,
KN0049,CHAMFER 25,,,,
,,,,,
KN0050,PRESS,3400,,,
KN0050,SANDER,2500,,,
KN0050,DRILL,,,,
KN0050,CHAMFER 45,800,,,
KN0050,CHAMFER 25,,,,
,,,,,
KN0051,PRESS,3400,,,
KN0051,SANDER,2500,,,
KN0051,DRILL,,,,
KN0051,CHAMFER 45,800,,,
KN0051,CHAMFER 25,,,,
,,,,,
KN0052,PRESS,3780,,,
KN0052,SANDER,,,,
KN0052,CHAMFER,,,,
KN0052,TAPPING,1050,,,
,,,,,
KN0053,PRESS,3400,,,
KN0053,SANDER,3150,,,
,,,,,
KN0054,PRESS,3400,,,
KN0054,SANDER,3150,,,
,,,,,
KN0055,PRESS,4900,,,
KN0055,SANDER,6300,,,
KN0055,CHAMFER 9,,,,
KN0055,BUBUT STEP 1,800,,,
KN0055,CHAMFER 12,,,,
KN0055,BUBUT STEP 2,,,,
,,,,,
KN0056RH,PRESS,3700,,,
KN0056RH,SANDER,,,,
KN0056RH,CHAMFER,,,,
KN0056RH,SHAVING,,,,
KN0056RH,,,,,
,,,,,
KN0056LH,PRESS,3700,,,
KN0056LH,SANDER,,,,
KN0056LH,CHAMFER,,,,
KN0056LH,SHAVING,,,,
,,,,,
KN0057,PRESS,5400,,,
KN0057,SANDER,,,,
KN0057,BUBUT,350,,,
,,,,,
KN0058,PRESS,5400,,,
KN0058,BUBUT,350,,,
KN0058,ANTIRUST,,,,
,,,,,
KN0059R,PRESS,3500,,,
KN0059R,DEBURRING,,,,
KN0059R,FACING,,,,
KN0059R,T-SLOT CHAMFER,1380,,,
KN0059R,DEBURRING T-SLOT,1130,,,
KN0059R,COINING + CHAMFER,1500,,,
KN0059R,ROTARY,1350,,,
KN0059R,SANDER,1050,,,
,,,,,
KN0060,PRESS,5600,,,
KN0060,SANDER,6300,,,
KN0060,BARREL,,,,
,,,,,
KN0061,PRESS,4500,,,
KN0061,SANDER,,,,
KN0061,CHAMFER,,,,
